,VW,VW_PREF,spread,spread_rolling_mean,spread_rolling_std,spread_rolling_z_score,Trade,Returns
2075,166.938,183.329,-0.08940756781523937,-0.07876368328807354,0.00961058726992411,-1.1075165573362387,0.0,0.0
2076,167.363,183.219,-0.08654124299335765,-0.07987173661719849,0.009130498017957291,-0.7304646869252913,0.0,0.0
2077,163.216,178.982,-0.08808707020817731,-0.08069264201694203,0.009092166586932092,-0.8132746051819029,0.0,0.0
2078,164.899,180.23,-0.0850635299339732,-0.08159262099497709,0.00854661075851268,-0.4061152469754145,0.0,0.0
2079,166.627,181.206,-0.0804553933092722,-0.08206289240286628,0.008187182358085392,0.19634338448642982,0.0,0.0
2080,166.979,181.334,-0.07916331189958854,-0.08285676173380423,0.006946402502573018,0.5317068558649737,0.0,0.0
2081,161.024,173.714,-0.07305110699195227,-0.08336183343652029,0.005673365189556477,1.817391636192922,0.0,0.0
2082,163.1,176.461,-0.07571644726030125,-0.0836783230936854,0.004987866106422035,1.5962489095553296,0.0,0.0
2083,160.363,173.392,-0.07514187505767277,-0.08340548339644227,0.005304393429079747,1.5578799818027729,0.0,0.0
2084,155.641,168.454,-0.07606230781103455,-0.08291769884056874,0.005515234997071286,1.2429916464438144,0.0,0.0
2085,156.766,170.325,-0.07960663437545867,-0.08256941012467268,0.00549218903523765,0.5394526171996209,0.0,0.0
2086,162.547,176.852,-0.0808868432361523,-0.08190517168070635,0.004771154299630989,0.21343439775837997,0.0,0.0
2087,164.618,180.784,-0.08942163023276395,-0.08190746439123696,0.004774942647629146,-1.5736661979087692,0.0,0.0
2088,164.82,181.567,-0.09223592392890786,-0.0822169646976364,0.005235686952760413,-1.9135901977464809,0.0,0.0
2089,168.018,183.832,-0.08602419600504806,-0.08235679006391347,0.005301034477386369,-0.691828351009475,0.0,0.0
2090,170.644,189.241,-0.09827151621477379,-0.08333716289890317,0.006300952291087203,-2.370174003220989,0.0,0.0
2091,172.958,189.208,-0.08588431778783139,-0.08344659496774932,0.006326460531403248,-0.3853217463353651,-1.0,0.012402205418332165
2092,180.854,199.979,-0.09563504167937632,-0.08417664835643639,0.00685387285101175,-1.6718129402194088,-1.0,-0.01212880470710808
2093,179.657,198.509,-0.0949679863381508,-0.08476688553996328,0.007258368215152719,-1.4054261916461461,-1.0,0.0014195773183169648
2094,174.188,192.964,-0.09730312389875838,-0.08544635334888953,0.007772451211158931,-1.5254866486451593,-1.0,0.0011855418744236533
2095,175.523,196.131,-0.10507263002788954,-0.08622960645952203,0.00890014419248389,-2.117159358415823,-1.0,-0.009228981967578372
2096,173.744,193.754,-0.10327528721987671,-0.087066308670848,0.009683125500578534,-1.6739407692340946,-1.0,0.003197665611699258
2097,177.385,201.069,-0.11779041025717539,-0.0885514756732979,0.0118772438620353,-2.461760903751207,-1.0,-0.017588675878400805
2098,176.897,199.996,-0.11549730994619901,-0.09007316467390919,0.013274254829511879,-1.9152973631156909,-1.0,0.0029380797643355364
2099,176.177,196.583,-0.10380348249848667,-0.0912405691333699,0.013409883280625133,-0.936839874159674,-1.0,0.013761551333232919
2100,168.01,189.654,-0.11412361458234473,-0.09298858426750772,0.014017539597431083,-1.5077560628906876,-1.0,-0.005009839659562289
2101,168.488,186.173,-0.09499229211539806,-0.09408564352368001,0.013210398567119452,-0.06863143357193512,-1.0,0.021218042143307622
2102,167.568,183.626,-0.08744948972367743,-0.09467229564684883,0.0125980489871361,0.5733273406498598,-1.0,0.008928944473277021
2103,168.47,183.698,-0.08289692865463973,-0.09506004832669716,0.012073722715402031,1.0074042578881959,0.0,0.0
2104,170.807,186.264,-0.08298436627582367,-0.09540615124993662,0.011589998028208735,1.0717676520634205,0.0,0.0
2105,168.299,182.697,-0.0788080811398107,-0.09536622358815422,0.011648519998907458,1.4214803640201965,0.0,0.0
2106,173.294,188.575,-0.08103407132440663,-0.09537358499256694,0.01163893057680446,1.2320301743819937,0.0,0.0
2107,175.914,193.675,-0.09170517619723775,-0.09548776229079063,0.011588560881953532,0.32640688797203193,0.0,0.0
2108,171.867,188.953,-0.09042460294358921,-0.09539719624152469,0.011622340575573605,0.42784783887560995,0.0,0.0
2109,172.254,190.287,-0.09476737769789852,-0.09583435532616721,0.011413792638034843,0.09348142743658636,0.0,0.0
2110,172.103,188.166,-0.08536611290031136,-0.0951890851604441,0.011631480558904122,0.8445160708808527,0.0,0.0
2111,174.048,192.069,-0.09382565640472948,-0.09558615209128901,0.011430942446326225,0.1540114207403201,0.0,0.0
2112,173.114,191.009,-0.09368668492060575,-0.09548873425335049,0.011438803396313903,0.15753827304396506,0.0,0.0
2113,172.187,189.199,-0.08991590864645162,-0.09523613036876552,0.011506490781647123,0.4623670086104504,0.0,0.0
2114,173.306,191.696,-0.09593314414489601,-0.0951676313810724,0.01149761255716583,-0.06658014957605346,0.0,0.0
2115,176.617,194.199,-0.09053599658082699,-0.09444079970871928,0.011296213042454473,0.3456736441864986,0.0,0.0
2116,178.88,194.225,-0.0790063071180332,-0.0932273507036271,0.011596756295796188,1.2262949416940847,0.0,0.0
2117,179.824,194.288,-0.07444618298608251,-0.09106013934007245,0.010786596554629161,1.5402408229368627,0.0,0.0
